number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,3.4728972579463964,0.7174250836504598,0.028107985805517873,13,10,812,74,0.17323522915498704,1.3617840187891341,0.7467983561008608,COMPLETE
1,3.4545715329998012,0.7550213529560301,0.008220649472734208,15,12,1179,89,0.06084844859190755,1.2396102906115805,0.7545474901621302,COMPLETE
2,3.453361089206523,0.8368209952651108,0.011756136487399257,9,15,875,67,0.15703519227860274,0.7194780514533756,0.8099085529881075,COMPLETE
3,3.481473809368718,0.984665661176,0.017504691973478256,13,11,966,32,0.19312640661491187,1.693435756986338,0.7195154778955838,COMPLETE
4,3.4546896001228133,0.7103165563345655,0.009102419240281566,11,9,735,71,0.1818640804157564,0.8140479705600271,0.848553073033381,COMPLETE
5,3.465309428603527,0.9325398470083344,0.012078747180298357,12,11,1129,61,0.18789978831283782,1.831723760684238,0.9908753883293675,COMPLETE
6,3.47914530473012,0.8166031869068446,0.02705668732297576,9,6,1058,35,0.05426980635477918,1.725980014643087,0.7975990992289793,COMPLETE
7,3.4626715354332034,0.9960660809801551,0.011597254284838932,9,33,792,63,0.1544489538593315,0.7179450904546759,0.7223651931039312,COMPLETE
8,3.4556910517461707,0.8075397185632818,0.02350662854261657,14,32,406,73,0.023173811905025946,1.78096548140095,0.7222133955202271,COMPLETE
9,3.4726645461736174,0.8912672414065639,0.012388987070026659,10,16,1086,33,0.1774425485152653,1.155543880259119,0.9188818535014192,COMPLETE
10,3.47449363043449,0.8656586354005565,0.016868951395294082,8,23,1440,48,0.12481670543447307,0.46385205715117583,0.856369926500515,COMPLETE
11,3.4582912585377428,0.772019974941596,0.008278978717527861,16,20,1395,87,0.08365365432393698,1.151909143995129,0.7916827859927683,COMPLETE
12,3.463444894502519,0.7581705066384448,0.009833137988713924,16,24,1274,89,0.10490115773248332,0.8710509593065765,0.7868880850175357,COMPLETE
13,3.4646733838803163,0.8287296986849945,0.01035673563858225,15,17,538,49,0.061826791660905635,1.4273407090911039,0.8465728529628848,COMPLETE
14,3.473529723017856,0.7745020718958457,0.014272843819937027,11,39,1203,82,0.13783116459697248,0.5453894460017823,0.7704390386788373,COMPLETE
15,3.4594180575178264,0.9005937164701888,0.00813314853640588,14,15,868,52,0.002013150462501251,1.0952229725215328,0.8233472734796657,COMPLETE
16,3.4698192188418573,0.7384520878613319,0.014408740173437639,8,5,1318,80,0.09573387214371808,0.9734244556648672,0.9040104962381799,COMPLETE
17,3.4556485757691062,0.7940948928561989,0.010733064719254646,11,27,634,66,0.051341387793885564,1.449039710496149,0.8928542291771665,COMPLETE
18,3.4710836034621195,0.8482380755233927,0.019338542240333097,15,15,1027,42,0.12269835926189541,0.6630347801759768,0.7511383835596338,COMPLETE
19,3.462163153080835,0.9436648079298786,0.01325641435020085,12,19,906,55,0.15042626382642255,0.9655507720152234,0.8231519166448423,COMPLETE
20,3.454314993753448,0.8565734880527566,0.009230050644203867,10,13,1201,82,0.07249877991560848,1.9901484560795342,0.9515761200117747,COMPLETE
21,3.453374893142322,0.8551864544771017,0.009188648917221591,10,13,1173,80,0.07632988231956273,1.9663806247881812,0.9942501786709038,COMPLETE
22,3.4565493645458694,0.8590654776591318,0.009455288614917776,10,14,1311,79,0.08509235118677602,1.9526076878428882,0.9980882233539708,COMPLETE
23,3.4510541540559467,0.8833902893084992,0.01101746692990577,9,20,978,70,0.03479046270484639,1.6017412015718606,0.9614312932349792,COMPLETE
24,3.4539530871055875,0.8935894758840367,0.010947862608742663,9,20,998,68,0.03296937028950684,1.5535440155767648,0.9646055936187691,COMPLETE
25,3.4608855235468425,0.9287365040104942,0.013068570863879726,8,25,680,58,0.0349346655231306,1.5451063345857516,0.9487565557115951,COMPLETE
26,3.4559539627952325,0.8334856694716674,0.011242522727828913,9,28,948,76,0.00506571905578046,1.5791344847711648,0.9274985503149569,COMPLETE
27,3.455751245559566,0.8781477002444982,0.014727106383345323,10,18,877,67,0.10685625850087355,1.3155497826503018,0.9746048335779299,COMPLETE
28,3.455743729197598,0.9081253180584465,0.010258711196418663,9,8,1108,71,0.021873800071298313,1.8391093436839279,0.8786030409458938,COMPLETE
29,3.4536015744724864,0.836266505470355,0.008886692425117441,8,21,831,76,0.16796769123632266,1.6678707140843598,0.927631023822305,COMPLETE
30,3.4583656270291465,0.7985198856876419,0.016611595605511894,11,8,775,85,0.07439006866252557,1.930789353334132,0.969233695092907,COMPLETE
31,3.453321859679087,0.8386420667704629,0.009183691883101086,8,21,865,77,0.1633128433454559,1.6456701769132236,0.9319511311137255,COMPLETE
32,3.453025788893078,0.8726020864379972,0.008676354684210456,8,22,937,77,0.1648091571526906,1.3563861029916855,0.9494095664099191,COMPLETE
33,3.4527647698203743,0.87533722573731,0.008027381614581412,8,22,941,65,0.199725292165749,1.2993990640746498,0.9418670235854761,COMPLETE
34,3.4605901064385,0.9628160833474195,0.008592464598573392,8,22,940,75,0.1678426111658157,1.2925201014965924,0.9449099844202924,COMPLETE
35,3.4582586370907733,0.9145535934395213,0.008208464351062726,8,26,1012,63,0.1972821899245889,1.4131722111899643,0.9126618368227426,COMPLETE
36,3.4515239184488196,0.8782993500031097,0.009934110267568465,9,29,718,69,0.19867087739308997,1.2463999448904455,0.9389778439933728,COMPLETE
37,3.4520087965967683,0.8789619286428649,0.009918244706571539,9,30,714,69,0.18827510241755682,1.2778352384853546,0.9758665040887957,COMPLETE
38,3.4563552018263692,0.8867070316393605,0.010067286455680405,9,30,567,59,0.18707539617196284,1.2453359540260411,0.9822794446503079,COMPLETE
39,3.4592595785550535,0.9586583624839611,0.011748406710462888,9,36,738,70,0.19863930544206873,1.095047293446619,0.8766670111721414,COMPLETE
40,3.453795416337131,0.9193487693676704,0.012534503572871464,13,29,666,64,0.1810434379308631,1.481124319815242,0.9566228861533286,COMPLETE
41,3.463312753286032,0.8687753680301503,0.008636271446423956,8,35,512,71,0.1887373788452433,1.3141319040670052,0.939516271635061,COMPLETE
42,3.4504789534933105,0.8793928357250651,0.009687286777885397,9,31,736,73,0.17700220717249918,1.364002966168638,0.9793186381833329,COMPLETE
43,3.4500041048901893,0.88230592173056,0.009760781262510277,9,31,736,73,0.17644708281135274,1.2082928769278913,0.9807884400398595,COMPLETE
44,3.44997582035531,0.88587462527724,0.009829516963862932,10,31,735,73,0.14725012085796857,1.0673103679594058,0.978290027337085,COMPLETE
45,3.4501769410802545,0.9036711388500656,0.010865993542277881,10,32,596,73,0.1462675051717283,0.9691655670639291,0.9851507767738662,COMPLETE
46,3.453819102270328,0.9418189535745353,0.010828992625182705,11,33,611,73,0.14372153326743842,0.9775511215978969,0.9920017710789135,COMPLETE
47,3.4535276126729544,0.9032917016031657,0.019703628833390774,10,37,452,73,0.1275443622873353,0.8754627817744186,0.98288195425963,COMPLETE
48,3.457212383548311,0.9203072427169631,0.012394615873715901,12,31,808,61,0.1539989675259237,1.0740964864126534,0.9634166401327968,COMPLETE
49,3.4513316886286347,0.8952573773517875,0.011213679541788518,10,34,618,84,0.13661820634067076,1.1707497927355335,0.9991508514606434,COMPLETE
50,3.4599530434305534,0.8215771240610082,0.013660210279943855,11,38,771,73,0.17447098041008532,1.0289361468031426,0.9843839642370933,COMPLETE
51,3.4523470849312217,0.8918711924897474,0.011545798766324646,10,34,603,90,0.13643522571089178,1.1740014795735234,0.9633959163963067,COMPLETE
52,3.451040944430969,0.8969694771141369,0.010501541859060735,10,40,494,85,0.14629639065278915,0.8603077020911232,0.9992266506158068,COMPLETE
53,3.455509523442159,0.8474194495821016,0.0105631103262258,9,40,505,87,0.11367196395470087,0.8053808752988937,0.9802860202889856,COMPLETE
54,3.4638192803103856,0.9335266820130674,0.009674685228040205,11,32,403,82,0.14297408155547672,0.8822078037317972,0.9998354785001556,COMPLETE
55,3.459330890293997,0.9070588380059692,0.02590150401496704,10,24,462,79,0.1490692242847682,0.7443808891630516,0.9709710644960405,COMPLETE
56,3.4511860151859173,0.8865075743997303,0.012151742481408214,10,27,557,71,0.15863598287155575,0.9420051566307509,0.9864396252465267,COMPLETE
57,3.4506851749230827,0.8654945331508472,0.010537627789736959,9,32,684,74,0.1736381077480861,0.6241733500544824,0.7042352540936152,COMPLETE
58,3.4502827359976096,0.8647199244543607,0.009413294392645006,12,32,672,87,0.17319840466131778,0.5618398207803142,0.7134008491711611,COMPLETE
59,3.4520822020588895,0.867524007155236,0.009488689595198769,14,32,708,79,0.17330896847411217,0.5314624863501118,0.7046442045361174,COMPLETE
60,3.4535332052299674,0.8617295524764277,0.009040237450990803,12,35,640,74,0.18084873574470994,0.4289410731380733,0.7395408295915645,COMPLETE
61,3.4519856801630153,0.8464745131254408,0.010470217871506407,10,31,674,83,0.17252505180840846,0.651915789428455,0.731724716344403,COMPLETE
62,3.4520403111260585,0.8995955513994481,0.00965396915581659,11,37,577,86,0.16015871091738593,0.6125014464641465,0.7596139864264535,COMPLETE
63,3.4528862833671026,0.9123924155636887,0.008500177872152296,13,33,763,87,0.13045485385609115,0.7778021228340383,0.7299852862587032,COMPLETE
64,3.4513499752045056,0.8601126947961881,0.010373734919961134,9,28,466,89,0.11715805700471171,0.5148972756729269,0.7019030817377945,COMPLETE
65,3.478559454046379,0.9283702103630693,0.029947999831586043,10,40,648,80,0.1490996873780148,0.6877368677280141,0.7191710936856792,COMPLETE
66,3.4524614112993794,0.8532142297076161,0.011466069652303446,14,31,504,77,0.17843833699783632,0.5996533166554392,0.8379522236540129,COMPLETE
67,3.457788957142835,0.8203253199751254,0.008942893820251463,9,36,694,67,0.15454912440253996,1.031753363914308,0.773500229743637,COMPLETE
68,3.4622650240812574,0.8982274429234909,0.00941248146572288,11,34,817,44,0.1675315776967384,0.919863257798264,0.7124592523559429,COMPLETE
69,3.4507238313730317,0.8854026335621775,0.010214488481151592,12,26,750,81,0.18559755354423593,1.1284424447131127,0.803431920031189,COMPLETE
70,3.453291992632926,0.8445230072552418,0.010044966398498896,12,26,856,78,0.1862033776099944,1.3732243258097234,0.783280112847024,COMPLETE
71,3.4526434995395867,0.8863049979406323,0.011025606443532338,12,29,740,84,0.1734591817972145,1.1382451016681276,0.8027376525544714,COMPLETE
72,3.4509413583622623,0.878147481960637,0.010502855215108018,13,30,594,81,0.19224819422359601,1.0090500227182961,0.8201896442604377,COMPLETE
73,3.449619459176857,0.869152082042293,0.009704229644191617,13,30,744,81,0.1913563935487522,1.2183011632135943,0.8298281316536745,COMPLETE
74,3.451872449893588,0.8669575020114578,0.009345184347550028,13,32,747,75,0.19249986591941226,1.1280576736961279,0.8373739844415924,COMPLETE
75,3.4536548728145826,0.8282335390377814,0.009791830896915283,13,28,788,81,0.16488246844919224,1.2065031870337348,0.858855905025596,COMPLETE
76,3.45761517089009,0.7323336184264452,0.008394091614191425,14,27,838,75,0.180679238066967,1.2271408200225966,0.8096364527870126,COMPLETE
77,3.4710549688355528,0.8698613362126698,0.008775167653457898,13,30,908,36,0.18548318196545446,1.0823175937412781,0.8752083496066617,COMPLETE
78,3.4636236031013015,0.8866629977696304,0.010159853385771061,15,33,1497,73,0.16998350546811353,1.497184901494559,0.7457040639632845,COMPLETE
79,3.4517132267339035,0.8587310103412905,0.009086337987241937,12,31,659,88,0.17736185672875943,1.3578270134665544,0.8984067712707159,COMPLETE
80,3.454616231746671,0.8117928548290307,0.01193677766100096,9,29,685,78,0.19358767170444485,0.48009928606832664,0.7607700674621326,COMPLETE
81,3.450134591429296,0.8780374181258459,0.010748673197880509,13,30,588,81,0.1897270518738367,1.0017671945607596,0.8207245534317146,COMPLETE
82,3.4516071439481366,0.8764892342747911,0.010889372936886762,12,25,536,83,0.16235005335128094,1.0575653027958696,0.8345002242681534,COMPLETE
83,3.4524767421505667,0.9054852220083058,0.009702535495013159,13,33,721,72,0.19229077554289617,1.1977190383304388,0.8528987053713082,COMPLETE
84,3.452101627891281,0.882531906795391,0.010127159618299325,13,28,628,75,0.1858989183996584,1.1188730305871295,0.7944942310689035,COMPLETE
85,3.4551374550734666,0.8911530537238217,0.012755521640334869,14,32,804,68,0.09311290009737976,1.268490094128165,0.84560861715908,COMPLETE
86,3.45992746568835,0.7002657474720675,0.01133258477724882,9,31,687,77,0.17667593930110587,0.989079105229272,0.8265186559285803,COMPLETE
87,3.4542040721608642,0.8407905006722997,0.009296836718826676,11,30,584,82,0.1828571518133629,1.4030899507797092,0.8116260613978401,COMPLETE
88,3.465821005504167,0.8551516000542343,0.01930857235271962,12,35,763,80,0.1568592647467162,0.9255041936563403,0.9542630391659479,COMPLETE
89,3.4538368187614124,0.871675838814601,0.010855283102307276,12,26,546,70,0.19515198148894233,1.1630836999623941,0.8629409071631772,COMPLETE
90,3.4518362903777473,0.9189741521449243,0.009925752348848377,9,34,710,66,0.16937001384697348,1.3249315179669086,0.712019921031605,COMPLETE
91,3.450761523599052,0.8629754692291467,0.010293136295338722,13,30,588,81,0.19105441918871968,0.9941942384516437,0.8257773786831828,COMPLETE
92,3.451141650589321,0.8647100069874792,0.009604180952690488,13,32,646,76,0.18364432064594644,0.5810716884755593,0.8291806004320412,COMPLETE
93,3.4512992821986073,0.8732496264220692,0.01029837049294219,13,29,617,84,0.18878067187563355,1.0536466053500197,0.8097144654484111,COMPLETE
94,3.452710184845607,0.8530115341743497,0.011211328208142187,14,27,669,78,0.17835689055271117,0.8376204206843926,0.8453813053069517,COMPLETE
95,3.4592684566260887,0.8923278070157898,0.011731957223717815,8,31,742,90,0.18968433303806467,0.9441520663373101,0.818405743417579,COMPLETE
96,3.451441388040151,0.8799671697733737,0.010578397273967739,12,30,784,86,0.1966951563123046,1.107827872036563,0.9898349273884329,COMPLETE
97,3.464453713864318,0.8304027628528449,0.009123167317924657,13,29,528,56,0.1735786416273806,1.2240238142517863,0.9751877307834563,COMPLETE
98,3.4533382813227744,0.8641484250122689,0.015174712594274102,15,32,591,72,0.16468675121815096,1.19058769558027,0.788699960252065,COMPLETE
99,3.451345095687347,0.9017716597847766,0.009962177037879171,11,34,701,74,0.1826753396116072,0.4172157764244807,0.800350836475233,COMPLETE
